Timestamp,Which college are you from?,City,Public/Private,CAPS,KEY,Education,  Is anyone from your family into Entrepreneurship?  ,Which year of college are you in currently? ,It’s easy to find the right mentor in college for my startup. ,My college and college clubs develop my entrepreneurial skills and abilities ,My institution has introduced courses in order to keep us in touch with growing wave of entrepreneurship in the country ,My family would support me if I shift my focus to unconventional or entrepreneurial activities ,If I decide to be an entrepreneur family support will be an important factor for me ,I’ll readily get mental and executional support from my peers for my venture ,It is easy for me to get funding for my startup from alumni or outside ,My country has created an ecosystem that enables young entrepreneurs to pursue their passion ,My college is located in a city which is active in entrepreneurship ,How likely are you to take up entrepreneurship as a career? ,diff_Q1,diff_Q2,diff_Q3,diff_Q4,diff_Q5,diff_Q6,diff_Q7,diff_Q8,diff_Q9,Educational,Relational,Structural
03-09-2023 07:01,IIT Kanpur,Kanpur,,IIT KANPUR,16,,No One,2,4,4,4,5,3,4,3,4,3,4,0,0,0,-1,1,0,1,0,1,4.00,4.00,3.33
03-09-2023 07:03,IIT Kanpur,Kanpur,,IIT KANPUR,16,,No One,4,4,4,1,3,3,4,4,4,3,3,-1,-1,2,0,0,-1,-1,-1,0,3.00,3.33,3.67
3-13-2023 15:38:12,IIT Kanpur,Kanpur,,IIT KANPUR,16,,No One,2,2,3,2,4,4,4,4,4,4,4,2,1,2,0,0,0,0,0,0,2.33,4.00,4.00
3-13-2023 15:39:00,IIT Kanpur,Kanpur,,IIT KANPUR,16,,Mother,2,4,4,4,5,5,5,5,5,5,5,1,1,1,0,0,0,0,0,0,4.00,5.00,5.00
3-13-2023 15:40:43,IIT Kanpur,Kanpur,,IIT KANPUR,16,,No One,3,2,3,2,4,4,3,4,4,4,4,2,1,2,0,0,1,0,0,0,2.33,3.67,4.00
3-13-2023 17:16:17,IIT Kanpur,Kanpur,,IIT KANPUR,16,,No One,2,4,4,4,4,4,4,3,4,4,4,0,0,0,0,0,0,1,0,0,4.00,4.00,3.67
2-27-2023 16:46:28,IIT Kanpur ,Kanpur,,IIT KANPUR ,16,,No One,4,3,3,3,3,4,5,5,5,5,5,2,2,2,2,1,0,0,0,0,3.00,4.00,5.00
2-27-2023 19:28:50,IITK,Kanpur,,IITK,16,,No One,2,4,4,3,2,3,3,4,4,2,4,0,0,1,2,1,1,0,0,2,3.67,2.67,3.33
03-03-2023 16:16,IITK,Kanpur,,IITK,16,,Father,4,4,3,3,4,5,4,3,4,2,4,0,1,1,0,-1,0,1,0,2,3.33,4.33,3.00
16-03-2023 08:38,IITK,Kanpur,,IITK,16,,No One,3,5,4,1,5,5,5,4,4,4,4,-1,0,3,-1,-1,-1,0,0,0,3.33,5.00,4.00
